name,proTeam,position,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,composite,recTarget,receptions,recYard,recTD
Evan Engram,NYG,TE,73,74.2,6,7.0,6,2,6,6,21,19.,65.4,8.2,8,186.67,68,44,467,3
Jimmy Graham,CHI,TE,244,244.8,29,30.4,11,5,12,21,1,20.,62.7,3.9,16,623.92,60,38,447,3
Ryan Griffin,TB,TE,358,327.6,79,70.0,14,8,9,14,7,21.,62.0,4.8,13,944.74,41,34,320,5
Tyler Eifert,JAC,TE,249,247.4,32,30.6,12,5,10,10,14,22.,61.6,3.9,16,636.35,63,43,436,3
Eric Ebron,PIT,TE,156,162.2,21,20.5,9,4,22,22,11,23.,55.5,5.0,11,416.02,52,31,375,3
Cameron Brate,TB,TE,305,303.7,35,39.6,13,5,9,14,7,24.,55.1,3.9,14,773.9,56,36,311,4
Blake Jarwin,DAL,TE,137,144.3,18,17.6,9,4,27,27,24,25.,54.5,3.6,15,370.31,41,31,365,3
Jordan Akins,HOU,TE,322,286.9,38,37.3,13,6,24,28,8,26.,53.8,3.4,16,780.12,55,36,418,2
Jacob Hollister,SEA,TE,346,313.0,42,45.5,14,6,19,24,5,27.,52.9,5.3,10,848.38,59,41,349,3
Gerald Everett,LAR,TE,230,232.7,28,28.7,11,5,8,15,4,28.,52.8,4.4,12,591.14,60,37,408,2
Dawson Knox,BUF,TE,227,235.6,26,28.7,11,5,25,12,32,29.,51.7,3.4,15,593.5,50,28,388,2
Will Dissly,SEA,TE,243,246.0,31,30.7,11,5,19,24,5,30.,50.9,8.5,6,628.6,27,23,262,4
OJ Howard,TB,TE,207,218.2,25,26.5,11,4,9,14,7,31.,49.9,4.2,12,543.35,53,34,459,1
TJ Hockenson,DET,TE,121,125.9,14,14.3,8,3,4,4,16,32.,48.7,4.1,12,315.92,59,32,367,2
Foster Moreau,LV,TE,418,352.7,53,54.1,15,7,17,13,25,33.,47.4,4.3,11,994.46,25,21,174,5
Hayden Hurst,ATL,TE,89,94.0,9,9.5,7,2,16,8,30,34.,46.9,2.9,16,235.95,39,30,349,2
Vance McDonald,PIT,TE,289,282.4,34,36.3,12,5,22,22,11,35.,45.5,3.3,14,730.62,55,38,273,3
Ricky Seals-Jones,KC,TE,440,368.6,62,56.4,15,7,21,18,15,36.,44.9,5.0,9,1049.68,22,14,229,4
Kaden Smith,NYG,TE,403,343.5,52,48.9,14,7,6,6,21,37.,44.8,6.4,7,956.89,42,31,268,3
Nick Boyle,BAL,TE,341,306.1,43,40.1,13,6,13,9,28,38.,44.1,2.9,15,827.7,43,31,321,2
Irv Smith,MIN,TE,171,182.3,23,22.9,10,4,3,2,19,39.,43.1,3.1,14,455.35,47,36,311,2
Josh Hill,NO,TE,444,365.0,65,57.6,15,7,1,1,10,40.,40.6,3.1,13,1049.24,35,25,226,3
CJ Uzomah,CIN,TE,313,278.7,36,35.6,13,6,31,32,18,41.,36.2,2.8,13,759.06,40,27,242,2
Delanie Walker,FA,TE,423,330.4,60,47.4,15,7,32,32,32,42.,33.5,5.6,6,979.88,31,21,215,2
Demetrius Harris,CHI,TE,500,500,79,70.2,0,8,12,21,1,43.,32.9,2.7,12,10000.0,27,15,149,3
Jeremy Sprinkle,WAS,TE,382,338.5,48,48.1,14,6,29,29,22,44.,30.1,1.9,16,928.24,40,26,241,1
Charles Clay,FA,TE,500,500,90,73.5,0,9,32,32,32,45.,29.7,2.0,15,10000.0,24,18,237,1
James O'Shaughnessy,JAC,TE,462,364.5,66,58.9,15,8,10,10,14,46.,27.3,5.5,5,1074.59,20,14,153,2
Anthony Firkser,TEN,TE,410,350.1,56,50.5,14,7,20,20,13,47.,26.4,2.6,10,981.86,24,14,204,1
Maxx Williams,ARI,TE,419,350.9,58,53.1,15,7,23,25,9,48.,26.2,2.0,13,999.63,19,15,202,1
Dan Arnold,ARI,TE,334,279.3,40,37.2,13,6,23,25,9,49.,24.7,4.9,5,786.78,14,8,127,2
Logan Thomas,WAS,TE,343,286.4,47,39.3,13,6,29,29,22,50.,23.3,1.8,13,816.15,28,16,173,1
Rhett Ellison,NYG,TE,500,500,500,500,0,0,6,6,21,51.,22.7,2.3,10,10000.0,28,18,167,1
